"","Gene","Transcript","Region","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"17","ENSG00000001629.9","ENST00000265742.7","CDS",53.7923900100396,0.660196780575942,0.280032239457401,2.35757419165436,0.0183947791419006,0.126657654360898
"18","ENSG00000001630.16","ENST00000003100.12","CDS",153.501594789057,-0.884681114787768,0.172569008821106,-5.12653529640931,2.95122749100484e-07,1.36544348848527e-05
"19","ENSG00000001631.15","ENST00000394507.5","CDS",51.1822102606706,0.311927875570104,0.276349651107433,1.12874351141786,0.259006048362501,0.597475778563533
"20","ENSG00000002016.17","ENST00000358495.7","CDS",20.9459844478813,-0.267557358464059,0.419302100150313,-0.638101641675879,0.52340751798384,0.802375093161135
"21","ENSG00000002330.13","ENST00000394532.7","CDS",26.940538661317,-0.0538142725855581,0.399130726465351,-0.134828688991525,0.89274732240854,0.966205101112636
"22","ENSG00000002549.12","ENST00000226299.8","CDS",26.698559412631,-0.723428828450735,0.385661202054637,-1.87581437955547,0.0606807727634588,0.280091873427087
"23","ENSG00000002586.19","ENST00000381192.9","CDS",35.6924302932856,0.19375588313346,0.316438692786235,0.612301490147884,0.540338303945303,0.811328496231423
"24","ENSG00000002587.9","ENST00000002596.5","CDS",0,NA,NA,NA,NA,NA
"25","ENSG00000002726.20","ENST00000493429.5","CDS",0.358414312642026,-1.97699844305425,3.38238087938367,-0.584499059554316,0.558884597799356,NA
"26","ENSG00000002745.12","ENST00000222462.2","CDS",4.80488571896633,0.465575820190368,0.851218796086399,0.546951996749743,0.584411711617414,0.83649040563461
"27","ENSG00000002746.14","ENST00000395891.6","CDS",6.19466814445876,-1.14808637874847,0.802175400951334,-1.43121613725241,0.152368280029667,0.460636574852391
"28","ENSG00000002822.15","ENST00000406869.5","CDS",11.0686737597578,-0.132542086156075,0.557571851976784,-0.237713015257438,0.812103688281019,0.938872930106097
"29","ENSG00000002834.17","ENST00000318008.10","CDS",21.996204292694,-0.379130726582758,0.413724698821813,-0.916384077775461,0.359465483463526,0.692056807888827
"30","ENSG00000002919.14","ENST00000393405.6","CDS",2.27335925594417,0.764326715769223,1.24241865588563,0.615192561821595,0.538427559402541,NA
"31","ENSG00000002933.8","ENST00000484928.5","CDS",0,NA,NA,NA,NA,NA
"32","ENSG00000003056.7","ENST00000000412.7","CDS",61.830512611044,-0.071917039698174,0.253455030850486,-0.283746743778774,0.776604469932028,0.924212220464573
"33","ENSG00000003096.14","ENST00000262820.7","CDS",70.3174469619415,-1.35198496369182,0.261628375657725,-5.16757771511967,2.37147370017956e-07,1.14378861246868e-05
"34","ENSG00000003137.8","ENST00000001146.6","CDS",0.871832194167652,1.99992603260852,2.15908611138484,0.92628358918291,0.354298622104403,NA
"35","ENSG00000003147.18","ENST00000402384.7","CDS",0.959476749865281,-1.13548305767672,1.98205430659978,-0.572881910397624,0.566724653590078,NA
"36","ENSG00000003249.13","ENST00000002501.10","CDS",1.04979164209634,0.24361536891898,1.98010452126778,0.123031570456191,0.902082098263791,NA
"37","ENSG00000003393.14","ENST00000264276.10","CDS",29.9075428009013,0.257034222267497,0.353649964435075,0.726804038219224,0.467346008950345,0.76964571206896
"38","ENSG00000003400.14","ENST00000286186.10","CDS",0.278429121917833,1.65081312457941,3.72717426927364,0.442912781993723,0.657828821677183,NA
"39","ENSG00000003402.19","ENST00000309955.7","CDS",23.6332708412736,-0.155664304382766,0.393562369657521,-0.395526392724551,0.692454447591344,0.890613658549006
"40","ENSG00000003436.15","ENST00000233156.8","CDS",283.444882960545,1.77749972755154,0.138840192048211,12.8024868111268,1.58783683601256e-37,1.62356316482284e-34
"41","ENSG00000003509.15","ENST00000002125.8","CDS",10.7251685568167,-1.49494022263077,0.608192585961206,-2.45800467999478,0.0139711353441677,0.102995572382203
"42","ENSG00000003756.16","ENST00000347869.7","CDS",86.3858588168494,-0.245568666232516,0.225042736318215,-1.09120903100501,0.275180914956625,0.616099158185131
