"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000267796.7:ENST00000301159.13:CDS",0.888094782480656,3.37284121917444,3.95999606837785,0.851728426224441,0.394364839541145,NA
"ENSG00000267855.5:ENST00000301457.2:CDS",0,NA,NA,NA,NA,NA
"ENSG00000267909.2:ENST00000599174.2:CDS",0.164301090636343,-0.759986425353481,4.0804728567969,-0.186249597050391,0.852249031507618,NA
"ENSG00000267978.5:ENST00000595065.5:CDS",0,NA,NA,NA,NA,NA
"ENSG00000268009.5:ENST00000595689.2:CDS",0,NA,NA,NA,NA,NA
"ENSG00000268041.2:ENST00000597630.2:CDS",4.29571479767443,-0.0163454311709145,0.873882123147157,-0.018704388999341,0.985076926953132,NA
"ENSG00000268043.7:ENST00000617931.4:CDS",22.8712454484458,-0.64406789804581,0.405398370781474,-1.58872838290953,0.112121728115155,NA
"ENSG00000268089.2:ENST00000598523.2:CDS",33.1383292111197,0.460570944127007,0.365222924568678,1.26106800297636,0.207284347549576,NA
"ENSG00000268104.2:ENST00000598581.2:CDS",215.807017370234,0.439258234544404,0.228263254487527,1.92434930243407,0.0543108146022913,0.477261396887951
"ENSG00000268107.5:ENST00000601674.5:CDS",0,NA,NA,NA,NA,NA
"ENSG00000268163.1:ENST00000596831.1:CDS",0,NA,NA,NA,NA,NA
"ENSG00000268173.3:ENST00000593731.1:CDS",0,NA,NA,NA,NA,NA
"ENSG00000268182.5:ENST00000598409.5:CDS",0,NA,NA,NA,NA,NA
"ENSG00000268221.5:ENST00000595290.5:CDS",0,NA,NA,NA,NA,NA
"ENSG00000268223.5:ENST00000601302.3:CDS",0,NA,NA,NA,NA,NA
"ENSG00000268320.3:ENST00000595228.3:CDS",0,NA,NA,NA,NA,NA
"ENSG00000268350.7:ENST00000622447.4:CDS",0,NA,NA,NA,NA,NA
"ENSG00000268400.5:ENST00000599243.5:CDS",0,NA,NA,NA,NA,NA
"ENSG00000268447.5:ENST00000616191.4:CDS",0,NA,NA,NA,NA,NA
"ENSG00000268500.5:ENST00000429354.3:CDS",0,NA,NA,NA,NA,NA
"ENSG00000268606.5:ENST00000623806.3:CDS",0,NA,NA,NA,NA,NA
"ENSG00000268629.6:ENST00000600991.5:CDS",0,NA,NA,NA,NA,NA
"ENSG00000268651.2:ENST00000599837.2:CDS",0,NA,NA,NA,NA,NA
"ENSG00000268655.2:ENST00000637680.1:CDS",12.7663066248661,0.513757986978984,0.545183054283039,0.942358686578434,0.346009031248512,NA
"ENSG00000268696.2:ENST00000600766.2:CDS",0.164301090636343,-0.759986425353481,4.0804728567969,-0.186249597050391,0.852249031507618,NA
"ENSG00000268738.2:ENST00000598963.2:CDS",0,NA,NA,NA,NA,NA
"ENSG00000268744.1:ENST00000435033.1:CDS",0,NA,NA,NA,NA,NA
"ENSG00000268750.6:ENST00000604231.1:CDS",1.63156544694398,-1.00937618357496,1.46400890707158,-0.689460411544897,0.490533577892604,NA
"ENSG00000268790.5:ENST00000600705.1:CDS",0,NA,NA,NA,NA,NA
"ENSG00000268902.3:ENST00000638741.1:CDS",0.323840030383158,0.201800976253147,3.14307545106215,0.0642049417505876,0.94880704256804,NA
"ENSG00000268916.6:ENST00000599845.3:CDS",0.828531811155147,-0.351294100215116,2.11740731691896,-0.165907663305086,0.868229616632496,NA
"ENSG00000268940.5:ENST00000594117.4:CDS",0,NA,NA,NA,NA,NA
"ENSG00000268964.1:ENST00000601417.1:CDS",0,NA,NA,NA,NA,NA
"ENSG00000268975.2:ENST00000600729.2:CDS",0,NA,NA,NA,NA,NA
"ENSG00000268988.1:ENST00000598475.1:CDS",0,NA,NA,NA,NA,NA
"ENSG00000268994.3:ENST00000596535.3:CDS",0,NA,NA,NA,NA,NA
"ENSG00000269028.3:ENST00000600213.3:CDS",0,NA,NA,NA,NA,NA
"ENSG00000269058.5:ENST00000269881.7:CDS",0,NA,NA,NA,NA,NA
"ENSG00000269096.6:ENST00000598716.2:CDS",0,NA,NA,NA,NA,NA
"ENSG00000269113.3:ENST00000606738.2:CDS",9.96887553921989,-0.186524953562545,0.586971916582922,-0.317774919536878,0.750655676644253,NA
"ENSG00000269190.5:ENST00000292852.8:CDS",1.02686918206534,1.19694814199664,1.81802274386735,0.658379080258622,0.510294574433655,NA
"ENSG00000269226.7:ENST00000598087.3:CDS",0,NA,NA,NA,NA,NA
"ENSG00000269307.1:ENST00000596542.1:CDS",0,NA,NA,NA,NA,NA
"ENSG00000269313.5:ENST00000616266.4:CDS",2.86709959690997,1.08737352640554,1.14611660485321,0.948745984310034,0.342749820232389,NA
"ENSG00000269335.5:ENST00000594239.5:CDS",4.74435941880623,-1.21812964271775,0.91923479480911,-1.32515615117757,0.185119365444223,NA
"ENSG00000269403.1:ENST00000600067.1:CDS",0,NA,NA,NA,NA,NA
"ENSG00000269404.6:ENST00000439922.6:CDS",0,NA,NA,NA,NA,NA
"ENSG00000269405.6:ENST00000625106.3:CDS",0,NA,NA,NA,NA,NA
"ENSG00000269433.3:ENST00000599405.3:CDS",0,NA,NA,NA,NA,NA
"ENSG00000269437.7:ENST00000602195.5:CDS",0,NA,NA,NA,NA,NA
"ENSG00000269466.3:ENST00000598383.2:CDS",0,NA,NA,NA,NA,NA
"ENSG00000269476.1:ENST00000602124.1:CDS",0,NA,NA,NA,NA,NA
"ENSG00000269502.5:ENST00000595412.5:CDS",0,NA,NA,NA,NA,NA
"ENSG00000269526.1:ENST00000602168.1:CDS",0,NA,NA,NA,NA,NA
"ENSG00000269556.7:ENST00000600449.7:CDS",0.812855932724627,-0.314380552292959,2.26048049373584,-0.139076870233633,0.88938940546015,NA
"ENSG00000269586.7:ENST00000611668.4:CDS",0,NA,NA,NA,NA,NA
"ENSG00000269699.6:ENST00000629319.2:CDS",0,NA,NA,NA,NA,NA
"ENSG00000269713.7:ENST00000615421.4:CDS",14.469316408957,-0.401597184376821,0.498675133763255,-0.805328273231041,0.420630270486476,NA
"ENSG00000269741.5:ENST00000250366.6:CDS",0,NA,NA,NA,NA,NA
"ENSG00000269743.2:ENST00000594199.2:CDS",0,NA,NA,NA,NA,NA
"ENSG00000269755.1:ENST00000598753.1:CDS",0.175214818177335,1.16356692628901,4.0804728567969,0.285154923736556,0.775525452875901,NA
"ENSG00000269791.5:ENST00000595235.5:CDS",0,NA,NA,NA,NA,NA
"ENSG00000269858.5:ENST00000593726.5:CDS",0,NA,NA,NA,NA,NA
"ENSG00000269881.1:ENST00000600536.1:CDS",0,NA,NA,NA,NA,NA
"ENSG00000269891.2:ENST00000479633.2:CDS",0,NA,NA,NA,NA,NA
